"criterion_id","source_item_number","name","category","measures","classification_tags","phase5a_granularity","natural_granularity","likely_authoritative_publisher_families","likely_dataset_or_indicator_families","evidence_refs","cross_country_comparability_estimate","coverage_90_percent_plausible_estimate","expected_coverage_band_estimate","likely_freshness","licensing_uncertainty","finding_status","deep_research_priority","deep_research_rank","recommended_batch","downgrade_rationale","reason_codes","fact_estimate_boundary"
"C33","33","Permanent-residency accessibility","Migration, visa and settlement","Time, eligibility and predictability of permanent residence under defined scenarios.","IC | SC | LF","NATIONAL","profile-derived","National immigration authorities | EU Immigration Portal | OECD","Official residence statutes/guidance | long-term residence rules | policy coding","","C2","NO","LOW","CURRENT_POLICY: current as-of snapshot","HIGH","SCREENED_POSSIBLE","HIGH","3","BATCH_1","PR eligibility is route-, origin- and family-dependent and needs maintained legal coding.","GRA_ORIGIN_SPECIFIC | PRF_PROFILE_ONLY | OPS_EXCESSIVE_MANUAL_MAINTENANCE","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C34","34","Citizenship accessibility","Migration, visa and settlement","Time and restrictions for naturalisation, including dual citizenship and tests.","IC | SC | LF","NATIONAL","national","National citizenship authorities | UNHCR/Global Citizenship Observatory | OECD","Official nationality laws | GLOBALCIT modes/law databases | dual-citizenship rules","","C3","UNCERTAIN","MEDIUM","STATIC_OR_LEGAL_ASOF: current","HIGH","SCREENED_POSSIBLE","MEDIUM","19","BATCH_2","Formal law is codable, but discretion, residence counting and policy updates complicate a scalar score.","CMP_LEGAL_NOT_LIVED_OUTCOME | OPS_EXCESSIVE_MANUAL_MAINTENANCE","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C35","35","Post-study migration pathway","Migration, visa and settlement","Ability of international graduates to stay, work and transition after study.","IC | SC | LF","NATIONAL","profile-derived","National immigration authorities | OECD | UNESCO/OECD student-mobility systems","Official post-study work rules | OECD retention indicators | student-to-work transition rules","E01","C2","NO","LOW","CURRENT_POLICY: current as-of snapshot","HIGH","SCREENED_POSSIBLE","MEDIUM","17","BATCH_2","Pathways depend on credential level, institution, occupation and policy date.","GRA_PROFESSION_SPECIFIC | PRF_PROFILE_ONLY | COV_BELOW_90_PERCENT","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C36","36","Family reunification support","Migration, visa and settlement","Ability to sponsor spouses, children, parents and other dependants.","IC | SC | LF","NATIONAL","profile-derived","National immigration authorities | EU Immigration Portal | OECD","Official family-reunification statutes, sponsor thresholds, waiting periods and dependant work rights","","C2","NO","LOW","CURRENT_POLICY: current as-of snapshot","HIGH","SCREENED_POSSIBLE","MEDIUM","18","BATCH_2","Family definitions, income thresholds and sponsor status differ materially; parent sponsorship is especially non-comparable.","GRA_HOUSEHOLD_SCENARIO_REQUIRED | GRA_ORIGIN_SPECIFIC | OPS_EXCESSIVE_MANUAL_MAINTENANCE","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C37","37","Government stance toward immigrants","Migration, visa and settlement","Formal immigration-policy direction, integration supports and stability of migrant access.","IC | SC | DO | LF","NATIONAL","national","UN DESA | OECD | national governments | MIPEX research consortium","UN World Population Policies | OECD integration indicators | MIPEX | legal anti-discrimination components","","C2","NO","MEDIUM","CURRENT_POLICY/SLOW_STRUCTURAL","HIGH","SCREENED_LOW_FEASIBILITY","LOW",,,"It conflates policy intent, rights, implementation and attitudes; leading indexes have limited coverage or licensing uncertainty.","SEM_QUESTION_TOO_BROAD | COV_BELOW_90_PERCENT | CMP_LEGAL_NOT_LIVED_OUTCOME","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C38","38","Professional-licensing accessibility for immigrants","Migration, visa and settlement","Ease of foreign-qualification recognition and entry to a specified regulated profession.","IC | SC | LF","NATIONAL","profile-derived","National professional regulators | WHO | UNESCO/ENIC-NARIC | OECD","Official licensing rules | WHO health-worker regulation | recognition databases | profession-specific pathways","E04","C2","NO","LOW","CURRENT_POLICY: current as-of snapshot","HIGH","SCREENED_POSSIBLE","MEDIUM","16","BATCH_2","Origin, profession, credential and language dependence prevent a universal score; deep research should test scenario templates.","GRA_ORIGIN_SPECIFIC | GRA_PROFESSION_SPECIFIC | PRF_PROFILE_ONLY","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C39","39","Visa and immigration processing efficiency","Migration, visa and settlement","Transparency, speed and predictability of visa/immigration administration.","IC | SC | LF","NATIONAL","national","National immigration authorities | OECD | audit/ombudsman bodies","Official service standards and processing-time dashboards | refusal data | digitisation indicators","","C2","NO","LOW","CURRENT_POLICY: current/quarterly","HIGH","SCREENED_LOW_FEASIBILITY","LOW",,,"Published clocks use different case types and exclude paused/incomplete cases; rejection rates reflect applicant mix.","CMP_DEFINITION_DIFFERS | COV_BELOW_90_PERCENT | OPS_EXCESSIVE_MANUAL_MAINTENANCE","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C40","40","English usability","Language, culture and integration","Extent to which work, education, health, government and daily life can be navigated in English.","IC | CR","NATIONAL_WITH_CITY_CAVEAT","city/regional","National census/statistical offices | UNESCO | EF for discovery","Census language ability/use | official-language law | education language | EF EPI only as discovery","","C2","NO","MEDIUM","SLOW_STRUCTURAL: census plus current legal status","HIGH","SCREENED_POSSIBLE","HIGH","8","BATCH_1","Commercial proficiency rankings are not enough; usability varies strongly by city and domain.","GRA_CITY_LEVEL_REQUIRED | LIC_AMBIGUOUS | CMP_SURVEY_NOT_HARMONISED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C41","41","Local-language difficulty and learning burden","Language, culture and integration","User-specific burden of learning and needing the local language.","IC | SC | PF","PREFERENCE_MODEL","preference-based","Official language sources | linguistic research | FSI-style difficulty evidence","Official-language requirements | script/linguistic distance | training availability","","C1","N/A","N/A","STATIC with policy updates","MEDIUM","DEFERRED_PROFILE_LAYER","LOW",,,"Difficulty depends on the user's known languages, profession and destination; no universal direction exists.","PRF_PREFERENCE_MATCH_REQUIRED | GRA_ORIGIN_SPECIFIC | SCO_NO_CLEAR_DIRECTION","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C42","42","Social inclusion and acceptance of immigrants","Language, culture and integration","Surveyed acceptance of immigrants, discrimination experience and social trust.","IC | SC | CR | LF","NATIONAL_WITH_CITY_CAVEAT","national","Gallup | World Values Survey | regional barometers | OECD","World Poll migrant acceptance | WVS/EVS attitudes | OECD integration survey indicators | discrimination surveys","","C2","NO","MEDIUM","SLOW_STRUCTURAL: survey waves 2–5y","HIGH","SCREENED_POSSIBLE","MEDIUM","41",,"Global surveys differ in years and samples, and small states are often absent; lived experience varies locally.","CMP_SURVEY_NOT_HARMONISED | COV_BELOW_90_PERCENT | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C43","43","Cultural openness and diversity","Language, culture and integration","Religious, ethnic, cultural and lifestyle diversity and practical openness.","IC | SC | DO | CR | LF","NATIONAL_WITH_CITY_CAVEAT","city/regional","UN agencies | WVS/regional surveys | national censuses | rights datasets","Census diversity | religious freedom | attitude surveys | migration diversity components","","C1","NO","MEDIUM","SLOW_STRUCTURAL: mixed waves","HIGH","SCREENED_LOW_FEASIBILITY","LOW",,,"The construct mixes diversity, tolerance and freedom; direction and weights are contestable and city effects large.","SEM_QUESTION_TOO_BROAD | SCO_NO_CLEAR_DIRECTION | GRA_CITY_LEVEL_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C44","44","Gender equality","Language, culture and integration","Legal and economic equality for women.","IC | DO","NATIONAL","unsuitable independent","World Bank Women, Business and the Law","WBL 2026 legal, supportive-framework and enforcement-perception pillars","E08","C4","YES","FULL","STATIC_OR_LEGAL_ASOF: 2025-10-01","LOW","DEFERRED","NO FURTHER WORK",,,"Already represented in Konsider; monitor the verified WBL source rather than duplicate research.","RED_EXISTING_CRITERION","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C45","45","LGBTQ+ legal and social inclusion","Language, culture and integration","Legal protection, recognition and safety for LGBTQ+ people.","IC | SC","NATIONAL","national","UN human-rights bodies | ILGA World | national legal authorities","ILGA Laws on Us/Database | UN legal findings | official statutes","E16","C3","YES","HIGH","STATIC_OR_LEGAL_ASOF: current legal snapshot","HIGH","SCREENED_POSSIBLE","MEDIUM","42",,"ILGA has strong scope but its 2024 report is CC BY-NC; social acceptance/safety needs separate survey evidence.","LIC_NONCOMMERCIAL_ONLY | CMP_LEGAL_NOT_LIVED_OUTCOME","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C46","46","Violent-crime and homicide safety","Safety, health and public services","Intentional-homicide risk, with broader violence only where genuinely comparable.","IC | DO","NATIONAL","unsuitable independent","World Bank WDI/UNODC | national justice systems","WDI intentional homicide series | UNODC homicide data","","C4","YES","FULL","STANDARD_SOCIOECONOMIC: latest approved year","MEDIUM","DEFERRED","NO FURTHER WORK",,,"Homicide is already represented; reported violent crime should not be appended without comparability evidence.","RED_EXISTING_CRITERION | CMP_REPORTING_CAPACITY_BIAS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C47","47","Property-crime and everyday safety","Safety, health and public services","Day-to-day risk of theft, burglary, robbery, fraud and victimisation.","IC | SC | CR | LF","CITY_OR_REGIONAL","city/regional","UNODC | national police | harmonised victimisation surveys | city safety surveys","UN-CTS recorded crime | victimisation surveys | police open data","","C1","NO","LOW","FAST_MOVING: 0–2y desirable","HIGH","DEFERRED_CITY_LAYER","LOW",,,"Recorded crime is dominated by reporting/legal differences; globally harmonised victim surveys and city coverage are sparse.","CMP_REPORTING_CAPACITY_BIAS | COV_BELOW_90_PERCENT | GRA_CITY_LEVEL_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C48","48","Political stability and civil peace","Safety, health and public services","Conflict, political violence, unrest and continuity of normal civic life.","IC | SC","NATIONAL","national","World Bank | UN | EU/JRC | UCDP/ACLED research sources","WGI Political Stability | INFORM human hazard | UCDP conflict data | official travel/security alerts","E07 | E14","C3","YES","HIGH","SLOW_STRUCTURAL/EVENT_RISK_MODEL: annual/current edition","MEDIUM","SCREENED_PROMISING","MEDIUM","29","BATCH_2","WGI is perception-based and conflict-event data may have licensing or reporting asymmetries.","CMP_MODEL_ASSUMPTIONS_OPAQUE | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C49","49","Rule of law and institutional trust","Safety, health and public services","Rule of law, corruption control, judicial confidence and institutional performance.","IC | SC","NATIONAL","national","World Bank | UN | World Justice Project for discovery","WGI Rule of Law/Control of Corruption/Government Effectiveness | UN SDG16 indicators","E07","C3","YES","FULL","SLOW_STRUCTURAL: annual, through 2024","MEDIUM","SCREENED_PROMISING","MEDIUM","30","BATCH_2","WGI is a composite of perceptions with margins of error; institutional trust is not identical to rule of law.","SEM_QUESTION_TOO_BROAD | SCO_UNCERTAINTY_TOO_HIGH","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C50","50","Healthcare system capacity and quality","Safety, health and public services","Health-service capacity, coverage and quality using workforce, service and outcome indicators.","IC | DO","NATIONAL_WITH_CITY_CAVEAT","national","WHO | World Bank | IHME as research supplement","WHO GHO/UHC service coverage, workforce and beds | avoidable mortality | World Bank indicators","E04","C3","UNCERTAIN","MEDIUM","STANDARD_SOCIOECONOMIC: 0–3y","MEDIUM","SCREENED_POSSIBLE","HIGH","7","BATCH_1","No single indicator captures access, quality and waiting time; mixed years and modelled values are likely.","SEM_QUESTION_TOO_BROAD | FRS_MIXED_REFERENCE_PERIODS | CMP_IMPUTED_VALUES_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C51","51","Emergency-care readiness","Safety, health and public services","Ambulance access, trauma/emergency capacity and response readiness.","IC | SC | CR | LF","CITY_OR_REGIONAL","city/regional","WHO | national emergency/health authorities | disaster agencies","WHO emergency-care system assessments | ambulance/trauma registries | Joint External Evaluation components","E04","C2","NO","LOW","STANDARD_SOCIOECONOMIC: irregular assessments","HIGH","DEFERRED_CITY_LAYER","LOW",,,"Global emergency-care assessments are sparse and national averages cannot represent response time.","COV_BELOW_90_PERCENT | GRA_CITY_LEVEL_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C52","52","Air pollution","Safety, health and public services","Population-weighted exposure to ambient PM2.5.","IC | DO","NATIONAL","unsuitable independent","World Bank/WHO | satellite-model consortia","WDI PM2.5 mean annual exposure","","C4","YES","FULL","STANDARD_SOCIOECONOMIC: latest approved model edition","LOW","DEFERRED","NO FURTHER WORK",,,"Already represented in Konsider; city exposure may be a later layer but not a duplicate national criterion.","RED_EXISTING_CRITERION","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C53","53","Water quality and sanitation","Safety, health and public services","Safely managed drinking water/sanitation access and related service quality.","IC | SC","NATIONAL_WITH_CITY_CAVEAT","national","WHO/UNICEF JMP | World Bank | national utilities","JMP safely managed drinking water, sanitation and hygiene | wastewater indicators","E06","C4","YES","HIGH","STANDARD_SOCIOECONOMIC: estimates through 2024","MEDIUM","SCREENED_PROMISING","MEDIUM","31",,"JMP access is broad, but continuity, taste/contaminants and migrant-city reliability are separate constructs.","SEM_QUESTION_TOO_BROAD | GRA_CITY_LEVEL_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C54","54","Food safety and public-health protection","Safety, health and public services","Strength of food regulation, inspection and outbreak prevention/response.","IC | SC | LF","NATIONAL","national","WHO | FAO | national food-safety authorities","WHO IHR capacities | Codex participation | foodborne disease estimates | official inspection systems","E04","C2","NO","MEDIUM","STANDARD_SOCIOECONOMIC: irregular/annual mixed","HIGH","SCREENED_LOW_FEASIBILITY","LOW",,,"Inputs and outbreak counts reflect surveillance capacity; comparable inspection-performance data are fragmented.","CMP_REPORTING_CAPACITY_BIAS | COV_BELOW_90_PERCENT","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C55","55","Mental-health support","Safety, health and public services","Availability, affordability and acceptability of mental-health services.","IC | SC | CR | LF","CITY_OR_REGIONAL","city/regional","WHO | national health systems | IHME","WHO Mental Health Atlas | provider density | service coverage | financial protection","E04","C2","NO","MEDIUM","STANDARD_SOCIOECONOMIC: periodic 2–5y","MEDIUM","DEFERRED_CITY_LAYER","LOW",,,"Provider counts do not measure affordability or stigma, and access is local with substantial missingness.","COV_BELOW_90_PERCENT | GRA_CITY_LEVEL_REQUIRED | SEM_QUESTION_TOO_BROAD","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C56","56","Electricity access and reliability","Infrastructure and daily-life reliability","Household electricity access plus outage frequency/duration and reliability.","IC | SC | DO","NATIONAL_WITH_CITY_CAVEAT","national","World Bank | IEA | national regulators/utilities | Enterprise Surveys","WDI electricity access | Enterprise Surveys outages | SAIDI/SAIFI | RISE policy indicators","","C2","NO","MEDIUM","STANDARD_SOCIOECONOMIC: 0–3y","MEDIUM","SCREENED_POSSIBLE","HIGH","13","BATCH_1","Access is near-global, but outage metrics lack harmonised 90% coverage; current experimental composite overlaps access.","COV_BELOW_90_PERCENT | CMP_DEFINITION_DIFFERS | RED_EXISTING_CRITERION","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C57","57","Water-supply reliability","Infrastructure and daily-life reliability","Continuity, shortage risk and resilience of household/urban water supply.","IC | SC | CR | LF","CITY_OR_REGIONAL","city/regional","WHO/UNICEF JMP | national utilities | World Bank | WRI for stress","JMP availability-when-needed | utility continuity | water stress/drought indicators","E06","C2","NO","MEDIUM","STANDARD/EVENT_RISK: 0–3y","HIGH","DEFERRED_CITY_LAYER","MEDIUM","32",,"JMP access does not ensure 24/7 supply; utility-level continuity is not globally standardised.","GRA_CITY_LEVEL_REQUIRED | COV_BELOW_90_PERCENT | CMP_DEFINITION_DIFFERS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C58","58","Internet access, speed, and reliability","Infrastructure and daily-life reliability","Internet adoption, mobile/fixed coverage, performance, affordability and reliability.","IC | SC | DO","NATIONAL_WITH_CITY_CAVEAT","national","ITU | World Bank | national telecom regulators | measurement firms for speed","ITU DataHub/IDI components | WDI internet use | regulator QoS | Ookla/M-Lab for discovery","E05","C3","YES","HIGH","FAST_MOVING: annual/near-current","MEDIUM","SCREENED_PROMISING","HIGH","12","BATCH_1","ITU access/coverage is broad, but speed/outage measures may be commercial or incomplete; avoid duplicating the existing composite.","LIC_AMBIGUOUS | RED_EXISTING_CRITERION","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C59","59","Transport and logistics infrastructure","Infrastructure and daily-life reliability","Road, rail, port, airport and trade-logistics performance.","IC | SC | DO","NATIONAL_WITH_CITY_CAVEAT","national","World Bank | UN transport agencies | national infrastructure ministries","Logistics Performance Index | WDI transport | UN road/rail/aviation/port indicators","E18","C3","NO","MEDIUM","SLOW_STRUCTURAL: LPI 2023/other annual","MEDIUM","SCREENED_LOW_FEASIBILITY","LOW",,,"LPI has limited country coverage and is perception-based; a broad composite would overlap existing infrastructure readiness.","COV_BELOW_90_PERCENT | RED_EXISTING_CRITERION | SEM_QUESTION_TOO_BROAD","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C60","60","Urban public transport","Infrastructure and daily-life reliability","Coverage, affordability, safety and reliability of public transport in destination cities.","IC | SC | CR | LF","CITY_OR_REGIONAL","city/regional","UN-Habitat | city transit agencies | GTFS publishers | OECD/ITF","SDG 11.2.1 | GTFS feeds | city route/stop/service data | fare schedules","","C3","NO","LOW","FAST_MOVING: current feeds/annual","HIGH","DEFERRED_CITY_LAYER","LOW",,,"Country scores are invalid; a fixed city universe and reusable feed policy are prerequisites.","GRA_CITY_LEVEL_REQUIRED | COV_BELOW_90_PERCENT | LIC_AMBIGUOUS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C61","61","International connectivity","Infrastructure and daily-life reliability","Direct-flight access, airport connectivity and travel time to relevant origins/centres.","IC | SC | CR | LF","CITY_OR_REGIONAL","city/regional","ICAO | IATA/OAG for discovery | airport authorities | OpenFlights for discovery","ICAO air transport statistics | scheduled route data | airport connectivity indexes","","C3","NO","MEDIUM","FAST_MOVING: seasonal/monthly","HIGH","DEFERRED_CITY_LAYER","LOW",,,"Route schedules are city/airport and origin-specific; comprehensive timetable data are usually commercial.","GRA_CITY_LEVEL_REQUIRED | GRA_ORIGIN_SPECIFIC | LIC_REDISTRIBUTION_RESTRICTED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C62","62","Digital-government readiness","Infrastructure and daily-life reliability","Availability and maturity of online services, digital ID and digital public administration.","IC | SC","NATIONAL","national","UN DESA | World Bank | ITU | OECD","UN E-Government Development Index/Online Service Index | World Bank GovTech Maturity Index | ID4D","E05","C3","YES","HIGH","SLOW_STRUCTURAL: biennial/current edition","MEDIUM","SCREENED_PROMISING","MEDIUM","33",,"Composite editions and weights require sensitivity review; user experience can diverge from formal availability.","SCO_COMPOSITE_WEIGHTS_ARBITRARY | CMP_LEGAL_NOT_LIVED_OUTCOME","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C63","63","Infrastructure readiness composite","Infrastructure and daily-life reliability","Combined digital and logistics readiness.","IC | DO","NATIONAL","unsuitable independent","Existing Konsider inputs | World Bank/ITU","Existing experimental infrastructure readiness composite","","C2","YES","FULL","Existing release cadence","LOW","DEFERRED","NO FURTHER WORK",,,"Already available experimentally; Phase 5 should research its components rather than duplicate the composite.","RED_EXISTING_CRITERION | RED_SHARED_COMPONENTS","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""PRELIMINARY_HYPOTHESIS"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C64","64","Temperature comfort","Climate, environment and location","Climatological heat, cold, humidity and seasonal exposure at likely destinations.","IC | SC | CR | PF | LF","CITY_OR_REGIONAL","city/regional","Copernicus/ECMWF | World Bank CCKP | national meteorological agencies","ERA5/ERA5-Land normals | CCKP ERA5/CRU aggregations | humidity/heat-index metrics","E12 | E13","C4","YES","FULL","CLIMATE_NORMAL: fixed normal period/current dataset","LOW","DEFERRED_CITY_LAYER","LOW",,,"Global data are excellent, but national averages are misleading and comfort has no universal direction.","GRA_CITY_LEVEL_REQUIRED | PRF_PREFERENCE_MATCH_REQUIRED","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
"C65","65","Climate preference fit","Climate, environment and location","Match between a user's preferred warm/cold/dry/humid/four-season climate and destination conditions.","IC | SC | PF | LF","PREFERENCE_MODEL","preference-based","Copernicus/ECMWF | World Bank CCKP","Derived preference model over ERA5/CCKP temperature, precipitation and humidity","E12 | E13","C4","YES","FULL","CLIMATE_NORMAL","LOW","DEFERRED_PROFILE_LAYER","LOW",,,"Data coverage is strong, but this belongs in a transparent preference model, not a higher-is-better criterion.","PRF_PREFERENCE_MATCH_REQUIRED | PRF_PROFILE_ONLY","{""measures"":""VERIFIED_FROM_USER_SEARCH_SPACE"",""publisher_dataset_family_existence"":""VERIFIED_WHERE_CITED; CANDIDATE_FIT_PRELIMINARY"",""comparability_coverage_freshness_licensing"":""PRELIMINARY_ESTIMATE_NOT_AUDITED""}"
